full_audio_path,ref_text_cleaned,pred_text_cleaned,cer,cluster,cluster_characteristics,duration,speed,snr
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0007\G0007_0322.wav,如何制作系统光盘,如何自主系统光盘,0.25,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1103\G1103_0534.wav,什么是离模油啊,什么是立膜油啊,0.2857,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1103\G1103_0540.wav,十枝蜡烛吹熄了三枝还剩多少枝,十支蜡烛吹熄了三支还剩多少支,0.2143,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1105\G1105_0030.wav,哥德巴赫猜想是正确的吗,格德巴赫猜想是谁确定吗,0.2727,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1105\G1105_0045.wav,竹喧归涣女莲动下渔洲这句的解释是什么,主轩归还女年洞夏渝州这句的解释是什么,0.4444,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1105\G1105_0050.wav,春回大地东风迎锦绣求下字,春回大地东风映锦绣秋夏枕,0.3333,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1105\G1105_0051.wav,用军献祛痘好吗,用均线去逗号吗,0.7143,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1105\G1105_0066.wav,罗纳耳朵现在状态好吗亨利呢,诺拉耳朵现在状态好吗很灵呢,0.3077,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1105\G1105_0094.wav,柯南单行本什么时候出,河兰单号门什么时候出,0.4,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1105\G1105_0104.wav,紫蓝罗到底是什么颜色哎,紫然路到底是什么颜色,0.2727,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1105\G1105_0112.wav,龙河什么时候改造,农合什么时候盖造,0.375,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1105\G1105_0114.wav,哪里有卖鱼形曲奇饼的我怎么找不到,哪里有卖与新区奇别的我怎么找不到,0.25,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1105\G1105_0128.wav,为什么称发薪水为关饷,为什么称华新水为官祥,0.4,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G1105\G1105_0130.wav,什么是织造官名,什么是支照官明,0.4286,2,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
