full_audio_path,ref_text_cleaned,pred_text_cleaned,cer,cluster,cluster_characteristics,duration,speed,snr
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0002.wav,考法硕要考数学吗考数几,考法硕要靠数学吗考书记,0.2727,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,2.4,3.3333333333333335,46.82268524169922
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0049.wav,美国为什么这么富强,玫瑰为什么这么富强,0.2222,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,2.96,4.391891891891892,49.49918746948242
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0059.wav,破题儿第一遭是什么意思,婆ear第一招是什么意思,0.4545,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.28,3.963414634146342,48.38832092285156
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0097.wav,请问土地砒霜污染和钾过多如何治理,请问土地批损污染和价格多如何治理,0.25,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.0,4.666666666666667,42.637977600097656
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0134.wav,小孩子为啥咬唇,小孩子为啥要蠢,0.2857,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,2.5,3.2,40.98794937133789
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0146.wav,新闻传播学晾衣绳儿式导语是第代导语,新闻传播学晾衣穗是刀屿是地带刀屿,0.5294,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,2.11,2.843601895734597,48.05423355102539
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0151.wav,用兽族应造哪些兵种,用手阻营造哪些兵种,0.3333,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.61,4.43213296398892,50.45380401611328
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0170.wav,奥版孙中山正面像银元试铸了多少枚,鳌拜孙中山正面祥银院是做了多少枚,0.375,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,3.24,3.3950617283950617,44.55587387084961
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0183.wav,啥是纯净物啊,啥是纯金屋啊,0.3333,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,2.71,4.428044280442805,38.774635314941406
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0208.wav,皮包过长作爱时有影响吗,皮包裹常坐艾屎有影响吗,0.4545,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0209.wav,南京哪里有双立人卖,南京哪里有爽的人卖,0.2222,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0216.wav,夙夜惟寅直哉惟清是夏朝哪个人说的,鼠叶未隐治载为清是下朝哪个人说的,0.5,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0218.wav,环境潮湿能引起计算机启动故障吗,环境超市能因其计算机启动故障吗,0.2667,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0223.wav,为啥刻录时速度特别慢,为啥克鲁斯速度特别慢,0.3,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0224.wav,为啥玉镯会无缘无故碎裂,为啥玉作会无缘无故水年,0.2727,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0003\G0003_0225.wav,成考还好是自考好,乘客好还是自考好,0.5,0,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
