full_audio_path,ref_text_cleaned,pred_text_cleaned,cer,cluster,duration,speed,snr
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0009.wav,三国吴国顾雍是个什么样的人,三国无国雇庸是个什么样的人,0.2308,1,3.3846875,3.8408272551010985,51.076515
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0012.wav,天起越热药味就弥漫得越快这说明,天气越热药味儿就弥漫得越快这说明,0.1333,1,7.88,2.1573604060913705,43.048634
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0015.wav,人死后去哪里了,认死后去哪里了,0.1429,1,3.11725,2.566364584168739,45.51918
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0020.wav,姿生堂亮透白系列亮白活肤泡沫怎么样,资神糖亮透白系列亮白活肤泡沫怎么样,0.1765,1,3.0275625,2.9726884250944448,55.954292
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0021.wav,为什么我家的电脑玩跑跑卡丁车屏幕超晃,为什么我家的电脑玩儿跑跑卡丁车屏幕超黄,0.1111,1,3.9070625,2.8154143938060883,51.021126
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0025.wav,在知道里如何关闭我的题问,在知道你如何关闭我的提问,0.1667,1,3.303875,3.026748893344936,53.049736
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0027.wav,掉头发给支支招啊,调头发该猪治找啊,0.625,1,3.3261875,3.3070895732727035,50.385586
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0029.wav,我想知道掘金队安东尼的资料,我想知道掘境对安东尼的治疗,0.3077,1,4.4025,3.8614423622941514,55.070984
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0031.wav,显示器摇的厉害,显示器要得厉害,0.2857,1,2.3775625,2.523592965484609,53.862835
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0032.wav,星际争霸哪儿能下载,星际争霸哪能下载,0.1111,1,2.589125,3.0898469560179596,54.90084
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0034.wav,沙龙是什么东西呀,啥龙是什么东西啊,0.25,1,4.510125,3.1041268257531662,52.029728
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0037.wav,失业时应该做些什么,失夜时应该做些什么,0.1111,1,3.8609375,3.6260623229461757,48.991707
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0041.wav,七仙女灵石在株洲哪有买,七仙女零食在株洲哪有买,0.1818,1,3.1250625,2.5599488010239795,55.18329
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0049.wav,多少度带围巾,多少度戴围巾,0.1667,1,2.7399375,3.2847464586327244,45.499855
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0050.wav,从火车站到上海世博会议大酒店怎么走啊,从火车站到上海世博汇颐大酒店怎么走啊,0.1111,1,2.2774375,2.6345399160240404,49.524864
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0059.wav,寄宿学校宿舍有什么规矩,技术学校宿舍有什么规矩,0.1818,1,2.8415,2.8154143938060883,54.35607
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0062.wav,国庆节六天去哪儿玩好,国庆节六天去哪儿玩儿哈,0.2,1,4.974875,3.618181361340737,49.34744
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0067.wav,最欣赏笔笔的什么,最欣赏笔的什么,0.125,1,2.6235,2.6681913474366303,52.400764
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0070.wav,木马杀客下载地址在哪呀,木马萨克下载地址在哪呀,0.1818,1,2.2719375,2.6409177189073203,51.06945
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0071.wav,出汗了要马上擦吗,出汗了要马上擦嘛,0.125,1,2.315875,3.0226156420359476,54.853024
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0074.wav,北京哪里有批发精仿运动嚡鞋的地方啊,北京哪里有批发金纺运动鞋的地方啊,0.1765,1,3.4616875,3.1776409626807736,52.458122
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0084.wav,春节将至想为公司求副对联庆祝,春节将至想为公司求服对联儿庆祝,0.1429,1,2.871125,2.0897731725368973,43.220272
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0089.wav,交城有名人吗,教城有名人吗,0.1667,1,3.828625,3.917855627020144,49.666424
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0099.wav,头发怎么样长的快,头发怎么样长得快,0.125,1,3.069875,2.931715460727228,54.992104
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0100.wav,为什么地球有引力,为什么地球有阴义,0.25,1,2.727,2.933626696002934,55.29615
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0103.wav,运行了蓝郁恢复精灵退不出来了,运行了难渝恢复精灵退不出来了,0.1429,1,4.2831875,4.202477710817002,47.3257
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0107.wav,猪的胰岛在什么位置,猪的一刀在什么位置,0.2222,1,3.6996875,3.784103387110398,50.525974
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0112.wav,网上靠包子是什么意思,网上call包子是什么意思,0.4,1,2.5050625,3.193533095481649,52.738857
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0120.wav,娥佩兰的调量睫毛膏效果怎么样,欧佩兰的调亮睫毛膏效果怎么样,0.1429,1,2.867875,2.789521858518938,46.196285
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0127.wav,太岁到底长什么样,太水到底长什么样,0.125,1,3.293125,4.251281078003417,53.228874
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0138.wav,太原哪里可以买到多威马拉松还鞋,太原哪里可以买到多维嘛拉松鞋,0.2,1,2.667125,3.3744200215587945,52.616432
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0140.wav,姜志焕的年龄是多少,江志涣的年龄是多少,0.2222,1,2.892875,3.456768785377868,52.615273
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0146.wav,百家姓中有比姓吗,搬家心中有比性吗,0.375,1,5.32,2.255639097744361,44.715996
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0001\G0001_0147.wav,减肥有平台期吗,减肥有平台去吗,0.1429,1,2.6259375,2.6657146257289064,55.226154
