full_audio_path,ref_text_cleaned,pred_text_cleaned,cer,cluster,cluster_characteristics,duration,speed,snr
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0001.wav,知道音乐群吗,指导音乐群吗,0.3333,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0013.wav,乌龟为什么会长寿,乌龟为什么会唱朝,0.25,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0046.wav,升水贴水各是什么意思有,深水天水歌是什么意思有,0.2727,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0069.wav,师父可以称呼女性吗,市否可以称呼女性吗,0.2222,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0075.wav,人生的抉择真的很难决定吗,人生的节奏真的很难决定嘛,0.25,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0081.wav,为什么正月的正读做一声,为什么正月的正独作一生,0.2727,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0098.wav,棋魂中北斗杯比赛开始在第几话,七分钟百斗杯比赛开始在第计划,0.4286,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0156.wav,哪里有下朴振英她曾美丽的视频,哪里有朴正英她称美丽的饰频,0.2857,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0179.wav,化纤用热稳定剂有毒吗,化纤用热吻的既油毒吗,0.4,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0192.wav,为什么说成也萧何败也萧何,为什么说成也笑合败也笑合,0.3333,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0196.wav,如何延迟骨骺线的闭合,如何研制谷歌县的闭合,0.5,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
G:\ruc\MY_ASR\02-metric测试\sichuan\wav\G0051\G0051_0207.wav,考四级看什么书好,考实际看什么书好,0.25,7,低信噪比（<30dB），音频背景噪音大; 语速慢（<2.5字/秒），易导致重复识别; 音频偏短（<3秒），上下文不足; CER偏高（>0.25），识别错误率高; 主要错误类型：同音字/近音字错误（如'跟讲明'→'跟江民'）,0.0,0.0,0.0
